Date,Weekday,Time,Office Hours,Brief Description,Place of Incident,Office,Site of Incident,Business Impact,Division,BU / Account affected,Line Manager,Operational Security Manager,Resolve (Hrs),Resolve (Days)
15/12/2015,FALSE,00:59,FALSE,Stolen Laptop,Area 4,FALSE,STE10,Minor,Private Sector,Virgin Money,Chet Swedberg  ,Lyle Griswold  ,186,7.75
06/05/2013,FALSE,08:01,TRUE,Lost Desktop,Office 12,TRUE,SOL20,Minor,HMRC,Police Service of Northern Ireland,Lucio Siniard  ,Silas Wand  ,28,1.17
15/06/2016,FALSE,14:21,TRUE,Lost USB drive,Area 4,FALSE,STE10,Significant,MIS,Dublin City Council,Wesley Kitt  ,Jamal Lacross  ,90,3.75
10/05/2016,FALSE,15:56,TRUE,Stolen Peripheral,Area 5,FALSE,MAN35,Major,Public Sector,HM Treasury,Cher Welter  ,Jamal Lacross  ,70,2.92
09/12/2014,FALSE,19:42,FALSE,Lost Desktop,Area 7,FALSE,BRA07,Significant,N&T,Virgin Money,Wallace Truett  ,Mary Clowers  ,44,1.83
14/12/2013,TRUE,13:43,FALSE,Stolen Laptop,Office 13,TRUE,SOL20,Minor,N&T,Heathrow Airport Limited,Adele Flower  ,Jamal Lacross  ,45,1.88
30/06/2014,FALSE,22:14,FALSE,Lost RHD,Office 5,TRUE,STE04,Significant,Private Sector,PZ Cussons,Wilbur Tienda  ,Raul Holmquist  ,173,7.21
05/10/2012,FALSE,20:40,FALSE,Lost Laptop,Office 10,TRUE,MAN35,Major,"Commercial, Legal",Ministry of Defence - MoD,China Thurlow  ,Silas Wand  ,64,2.67
23/12/2014,FALSE,10:12,TRUE,Stolen Peripheral,Office 17,TRUE,BSN01,Minor,HMRC,MOD - DFTS,Adele Flower  ,Rueben Bosarge  ,133,5.54
06/05/2013,FALSE,05:06,FALSE,Unauthorised Access,Reception,FALSE,SOL10,Minor,Public Sector,Cabinet Office,Wynona Tonkin  ,Sterling Raske  ,45,1.88
05/04/2016,FALSE,14:42,TRUE,Stolen Desktop,Area 15,FALSE,BRA07,Major,ROI,HPC Wales,Felicidad Vose  ,Foster Wax  ,70,2.92
08/08/2013,FALSE,18:23,TRUE,Lost RHD,Area 8,FALSE,EDI06,Minor,DNS,HPC Wales,Juan Bernett  ,Raul Holmquist  ,23,0.96
13/11/2015,FALSE,22:09,FALSE,Stolen USB drive,Area 1,FALSE,MAN33,Minor,DNS,Police Service of Northern Ireland,Irma Zamorano  ,Raul Holmquist  ,32,1.33
14/05/2014,FALSE,23:00,FALSE,Unsecured PM Document,Office 6,TRUE,SOL20,Major,MIS,HSBC,Bret Orosz  ,Pablo Gowers  ,63,2.63
22/01/2014,FALSE,05:18,FALSE,Broken Window,Area 4,FALSE,BRA07,Minor,Marketing,High Speed 2 Ltd.,Babette Garriott  ,Lyle Griswold  ,81,3.38
08/07/2016,FALSE,00:46,FALSE,Lost USB drive,Office 16,TRUE,MAN33,Minor,Other (specify),HSBC,Deidra Mayes  ,Mitch Landa  ,48,2
19/11/2015,FALSE,04:18,FALSE,Stolen USB drive,Area 10,FALSE,WAR03,Minor,DNS,G4S Plc,Neta Veres  ,Van Fessenden  ,68,2.83
10/03/2015,FALSE,02:51,FALSE,Unsecured Cabinet,Office 18,TRUE,BRA07,Major,ROI,UK Border Agency,Suzan Bogert  ,Sterling Raske  ,160,6.67
28/11/2014,FALSE,12:03,TRUE,Lost Desktop,Area 14,FALSE,SOL10,Minor,Private Sector,Virgin Money,Kiera Lickteig  ,Raul Holmquist  ,184,7.67
27/09/2013,FALSE,07:55,TRUE,Unsecured PM Document,Office 15,TRUE,SOL20,Minor,Business Operations,Whitbread Group Plc,Chet Swedberg  ,Jamal Lacross  ,85,3.54
20/11/2015,FALSE,19:20,FALSE,Stolen USB drive,Office 9,TRUE,BSN01,Major,Marketing,Environment Agency,Julius Huntsberry  ,Mitch Landa  ,127,5.29
15/09/2016,FALSE,12:21,TRUE,Staff with no pass,Area 3,FALSE,STE10,None,Private Sector,Cabinet Office,Yasuko Manigault  ,Sterling Raske  ,295,12.29
15/11/2013,FALSE,06:36,FALSE,Stolen Laptop,Area 10,FALSE,SOL20,Minor,Unknown,Halfords Ltd.,Kiera Lickteig  ,Raul Holmquist  ,297,12.38
12/11/2012,FALSE,18:39,TRUE,Unsecured PM Document,Office 19,TRUE,STE04,None,Other (specify),Ministry of Defence - MoD,Candra Snowball  ,Pasquale Sonntag  ,39,1.63
12/01/2014,TRUE,22:09,FALSE,Brief Descriptions,Area 10,FALSE,MAN34,Significant,N&T,NI Water,Efrain Hauk  ,Quinton Claudio  ,27,1.13
18/05/2015,FALSE,23:07,FALSE,Stolen RHD,Area 10,FALSE,WAR03,None,TPG,Vodafone Plc Government,Will Stahly  ,Jamal Lacross  ,119,4.96
08/12/2012,TRUE,11:11,FALSE,Unauthorised Access,Reception,FALSE,SOL10,Minor,N&T,G4S Plc,Jacob Carillo  ,Pablo Gowers  ,182,7.58
07/08/2015,FALSE,20:51,FALSE,Stolen RHD,Area 9,FALSE,CRE02,None,N&T,HSBC,Stanley Bosch  ,Van Fessenden  ,83,3.46
16/06/2014,FALSE,18:47,TRUE,Unsecured Cabinet,Office 17,TRUE,SOL20,Major,Finance & Strategy,McDonalds Restaurants Ltd.,Chet Swedberg  ,Pasquale Sonntag  ,121,5.04
16/07/2013,FALSE,19:49,FALSE,Tailgating,Area 3,FALSE,STE10,Major,DNS,G4S Plc,Yasuko Manigault  ,Leonardo Mcclane  ,92,3.83
28/08/2014,FALSE,01:20,FALSE,Lost USB drive,Office 14,TRUE,Unknown,None,Unknown,KFC,Irma Zamorano  ,Silas Wand  ,212,8.83
17/04/2013,FALSE,15:11,TRUE,Stolen Laptop,Office 15,TRUE,MAN34,Significant,TPG,UK Border Agency,Yasuko Manigault  ,Damion Hope  ,67,2.79
20/06/2014,FALSE,03:44,FALSE,Lost Desktop,Area 13,FALSE,MAN33,Major,Unknown,Ministry of Defence - MoD,Wilbur Tienda  ,Sterling Raske  ,152,6.33
10/06/2015,FALSE,11:34,TRUE,Lost Peripheral,Office 9,TRUE,MAN35,None,Business Operations,Mercedes-Benz Uk Ltd.,Edmund Dedrick  ,Leonardo Mcclane  ,78,3.25
02/01/2017,FALSE,11:51,TRUE,Stolen Desktop,Area 19,FALSE,WAR03,Major,Business Operations,Ford Motor Company ltd,Adele Flower  ,Quinton Claudio  ,156,6.5
23/08/2014,TRUE,21:26,FALSE,Lost Laptop,Office 14,TRUE,CRE02,None,ROI,Whitbread Group Plc,Len Clyburn  ,Douglass Dill  ,88,3.67
05/10/2012,FALSE,22:21,FALSE,Unsecured Cabinet,Unknown,FALSE,BSN01,Significant,Marketing,Cabinet Office,Neta Veres  ,Quinton Claudio  ,81,3.38
07/06/2015,TRUE,21:29,FALSE,Stolen Peripheral,Reception,FALSE,MAN33,Major,Business Operations,Whitbread Group Plc,Cher Welter  ,Foster Wax  ,107,4.46
29/06/2014,TRUE,14:18,FALSE,Stolen USB drive,Area 5,FALSE,SOL10,Major,HR,Reading Borough Council,Ursula Bradberry  ,Mary Clowers  ,150,6.25
28/01/2013,FALSE,02:24,FALSE,Tailgating,Office 5,TRUE,Unknown,Minor,ROI,Ford Motor Company ltd,Shila Bentler  ,Jamal Lacross  ,80,3.33
10/01/2014,FALSE,07:28,TRUE,Lost Desktop,Office 18,TRUE,BSN01,None,HMRC,British American Tobacco Plc,Cecil Royse  ,Lyle Griswold  ,50,2.08
10/03/2016,FALSE,00:22,FALSE,Stolen Laptop,Office 7,TRUE,STE04,None,HMRC,Environment Agency,Cher Welter  ,Sterling Raske  ,11,0.46
06/05/2012,TRUE,19:02,FALSE,Stolen Laptop,Office 10,TRUE,SWN03,None,Finance & Strategy,HM Treasury,Vance Mcmanis  ,Rueben Bosarge  ,74,3.08
08/04/2012,TRUE,16:34,FALSE,Lost Desktop,Area 5,FALSE,SOL20,Minor,DNS,Heathrow Airport Limited,Cecil Royse  ,Raymon Currie  ,7,0.29
03/06/2015,FALSE,15:15,TRUE,Lost Peripheral,Canteen,FALSE,MAN33,None,Public Sector,Ford Motor Company ltd,Will Stahly  ,Rueben Bosarge  ,154,6.42
